cat,probe,avg_probe_fs_0,avg_probe_fs_1,avg_probe_fs_2,avg_probe_fs_3,avg_probe_fs_4,avg_probe_fs_5,avg_probe_fs_6,avg_probe_fs_7,avg_probe_fs_8,avg_probe_fs_9
FRUIT,coconut,60.248238846024826,67.15867158671587,62.705467963770545,65.34719892653472,64.42468970144247,65.43944984904394,60.248238846024826,67.15867158671587,68.87789332438778,69.9849043944985
DRINK,coffee,85.32608695652173,84.42028985507247,85.96014492753623,85.96014492753623,85.86956521739131,85.59782608695652,86.1413043478261,85.14492753623189,85.41666666666666,86.77536231884058
DRINK,coke,89.67391304347827,90.76086956521738,90.1268115942029,89.67391304347827,89.85507246376811,91.57608695652173,88.94927536231884,89.94565217391303,90.67028985507247,91.84782608695652
BATHROOM,comb,58.64246250986582,59.563272822941336,63.31228624046303,60.02367797947908,55.52486187845304,56.353591160220994,63.12812417784793,60.37884767166535,58.18205735332806,54.98553012365167
ELECTRONICS,computer,67.66717855647076,64.18400111685048,64.54697752338406,60.42859137233003,68.12089906463771,68.3023872679045,66.66899343850342,63.27656010051654,67.66717855647076,61.336032388663966
SHAPE,cone,49.620938628158854,50.7942238267148,49.981949458483754,51.15523465703971,54.35018050541516,50.70397111913357,49.16967509025271,49.35018050541517,49.620938628158854,52.05776173285198
DESSERT,cookie,85.46448087431693,91.07468123861567,86.92167577413478,89.79963570127505,86.01092896174863,87.0127504553734,85.46448087431693,87.37704918032787,90.1639344262295,91.2568306010929
FURNITURE,couch,74.98593586755605,76.74194326127139,71.19263843124648,73.9210801253717,79.42618339628706,71.37748131479546,71.56232419834446,78.45374909587719,75.72530740175199,74.10592300892067
HOUSEHOLD,counter,63.05380333951762,61.66233766233766,59.05380333951762,56.21892393320964,61.47680890538033,57.75510204081633,57.66233766233766,60.311688311688314,54.40445269016697,60.44526901669759
FAMILY,cousin,79.97031539888683,78.0630797773655,75.69202226345084,75.97031539888684,76.24860853432283,76.39332096474953,79.7847866419295,77.41372912801485,72.94990723562151,78.80519480519482
MAMMAL,cow,76.4161220043573,77.00435729847494,77.87581699346406,75.88235294117646,75.63180827886711,75.0,72.5599128540305,77.58169934640523,75.05446623093681,69.98910675381265
FRUIT,cranberry,84.75343844347533,86.5649111036565,86.93391479369339,81.83495471318349,86.84166387118417,86.38040925863804,85.27339818852735,82.81616907078163,86.1959074136196,87.76417309627642
TOYS,crayon,60.419512979185086,60.925821747167085,59.262235795226225,64.71911918347666,55.65378124246565,60.833400305392594,64.7673390661416,61.62099172225348,63.61006188218275,63.746684883066784
DESSERT,cream,77.19489981785064,74.59016393442623,71.62112932604737,69.10746812386157,78.19672131147541,78.65209471766849,77.55919854280509,68.92531876138433,75.31876138433515,69.38069216757741
FURNITURE,crib,73.9210801253717,67.58418387848589,75.07835730933054,75.17077875110503,71.19263843124648,71.19263843124648,72.3016957325404,72.81202282407779,72.6271799405288,71.0077955476975
INSECT,cricket,56.70289855072463,58.514492753623195,56.79347826086957,56.97463768115942,65.30797101449275,56.34057971014492,55.16304347826087,63.858695652173914,57.065217391304344,62.13768115942029
BIRD,crow,83.07481751824817,79.40237226277372,82.52737226277372,76.36861313868613,86.74726277372262,86.83850364963503,82.07116788321167,81.06751824817518,79.94981751824817,84.71715328467153
SHAPE,cube,69.98194945848375,73.71841155234658,80.52346570397113,85.43321299638988,74.07942238267148,84.98194945848377,64.4404332129964,79.71119133574007,79.44043321299638,70.25270758122744
BIRD,cuckoo,52.075729927007295,54.28832116788321,51.893248175182485,51.254562043795616,54.28832116788321,48.12956204379562,47.9470802919708,52.075729927007295,51.80200729927007,48.768248175182485
KITCHEN,cup,74.15816121514105,76.05480993329583,72.63119826408422,77.44113155991322,76.79418146749177,77.62597444346218,78.96809451097002,77.5335530016877,74.98995419111148,76.37627581772884
DESSERT,cupcake,74.60837887067396,70.58287795992713,76.97632058287796,73.18761384335156,65.97449908925319,70.30965391621129,81.91256830601093,72.9143897996357,85.19125683060109,73.91621129326047
HOUSEHOLD,curtain,76.49721706864564,71.09461966604825,74.4452690166976,73.61038961038962,71.42486085343228,72.25974025974027,71.51762523191094,76.81632653061224,73.79591836734693,70.81632653061224
FAMILY,dad,75.73283858998144,64.47495361781075,66.19666048237477,64.47495361781075,61.91836734693877,62.103896103896105,73.36178107606679,70.01113172541744,64.28942486085343,66.56771799628942
PLANTS,daisy,60.8581292125596,57.397665625513724,61.310208778563215,60.677297386158145,56.76475423310866,56.131842840703605,56.31267466710504,56.583922406707224,56.94558605951011,58.21140884432023
FAMILY,daughter,78.81632653061224,78.48608534322821,84.2077922077922,80.81632653061224,76.63079777365492,78.02226345083487,81.09461966604825,83.28014842300556,81.28014842300557,80.30055658627087
DAYS,day,94.18181818181819,94.54545454545455,94.54545454545455,93.72727272727272,94.36363636363636,95.0909090909091,94.36363636363636,94.0909090909091,94.45454545454545,94.63636363636363
MONTHS,december,84.14855072463767,84.51086956521738,84.69202898550725,85.41666666666666,84.23913043478261,84.96376811594203,84.78260869565217,85.05434782608697,85.23550724637681,85.86956521739131
MAMMAL,deer,72.60348583877996,71.44880174291939,76.37254901960785,71.00217864923746,69.97821350762527,70.95860566448802,70.02178649237473,72.22222222222223,75.53376906318083,71.60130718954248
FURNITURE,desk,79.10069918829863,76.83436470304589,81.18219079000242,79.4703849553966,76.18741461062444,83.91063248412762,73.9210801253717,74.38318733424416,78.91585630474965,75.21498031021459
DESSERT,dessert,89.89071038251366,87.46812386156648,90.52823315118397,90.52823315118397,83.31511839708561,86.73952641165756,90.34608378870675,86.92167577413478,89.79963570127505,88.01457194899818
SHAPE,diamond,83.17689530685921,84.80144404332131,85.34296028880867,84.35018050541517,79.53068592057761,80.07220216606498,83.08664259927798,82.72563176895306,86.06498194945848,80.25270758122744
CLOTHING,diaper,72.79575415168635,72.03389830508475,75.62917308680021,72.69303201506591,72.98407806882383,74.97003937681903,72.70159219311762,75.62917308680021,73.35216572504709,75.62917308680021
TOYS,die,48.52527525516355,49.911596881780916,49.172225347584984,47.83010528007715,46.1665193281363,47.2755766294302,51.34613839106324,49.63433255645745,47.18315518765571,47.83010528007715
MAMMAL,dingo,56.187363834422655,57.21132897603486,52.97385620915033,53.56209150326797,54.97821350762527,54.052287581699346,49.31372549019608,55.119825708061,53.99782135076253,54.2483660130719
KITCHEN,dish,86.13276541027084,85.11612955075142,84.14369525034155,86.31760829381982,85.3933938760749,86.68729406091778,87.56730691955316,88.67636422084706,85.67065820139838,85.71485976050792
MAMMAL,dog,72.50544662309369,76.22004357298475,75.33769063180829,74.84749455337692,75.47930283224402,72.89760348583879,78.98692810457517,75.67538126361656,75.0,75.88235294117646
TOYS,doll,58.9367515872378,61.66519328136302,63.376999115968815,54.21923973318332,59.49128023788476,57.40978863618098,64.53427629992767,63.09973479064534,63.746684883066784,64.20879209193924
MAMMAL,dolphin,65.10893246187364,66.62309368191721,67.25490196078432,62.429193899782135,66.5686274509804,61.69934640522876,66.27450980392156,67.69063180827887,59.694989106753816,63.80174291938998
MAMMAL,donkey,80.75163398692811,78.4640522875817,79.88017429193899,77.63616557734206,76.94989106753813,81.04575163398692,76.6557734204793,80.75163398692811,78.89978213507625,78.51851851851852
